id;pcode;space;start;end;activity
50;1,01E+13;100300;240;360;1
50;1,01E+13;*;360;400;131
50;1,01E+13;*;360;400;133
50;1,01E+13;21001;400;900;11
50;1,01E+13;*;900;950;131
50;1,01E+13;*;900;950;133
50;1,01E+13;100300;950;1740;1
51;1,01E+13;100300;240;510;1
51;1,01E+13;*;510;525;111
51;1,01E+13;10400;525;750;11
51;1,01E+13;*;750;765;100
51;1,01E+13;10400;765;825;53
51;1,01E+13;*;825;840;100
51;1,01E+13;10400;840;865;11
51;1,01E+13;*;865;880;100
51;1,01E+13;20700;880;940;13
51;1,01E+13;*;940;955;100
51;1,01E+13;10400;955;1170;11
51;1,01E+13;*;1170;1180;122
51;1,01E+13;20900;1180;1320;51
51;1,01E+13;*;1320;1320;100
51;1,01E+13;20200;1320;1380;53
51;1,01E+13;*;1380;1395;122
51;1,01E+13;100300;1395;1740;1
52;1,01E+13;100300;240;500;1
52;1,01E+13;*;500;505;100
52;1,01E+13;100302;505;510;61
52;1,01E+13;*;510;515;100
52;1,01E+13;100400;515;535;33
52;1,01E+13;*;535;545;100
52;1,01E+13;100300;545;885;1
52;1,01E+13;*;885;890;100
52;1,01E+13;100302;890;895;64
52;1,01E+13;*;895;900;100
52;1,01E+13;100300;900;1740;1
53;1,01E+13;100300;240;900;1
53;1,01E+13;*;900;910;100
53;1,01E+13;110100;910;1020;54
53;1,01E+13;*;1020;1030;100
53;1,01E+13;100300;1030;1200;1
53;1,01E+13;*;1200;1220;122
53;1,01E+13;310514;1220;1470;53
53;1,01E+13;*;1470;1490;122
53;1,01E+13;100300;1490;1740;1
54;1,01E+13;100300;240;495;1
54;1,01E+13;*;495;550;131
54;1,01E+13;*;495;550;133
54;1,01E+13;40600;550;750;13
54;1,01E+13;*;750;790;131
54;1,01E+13;*;750;790;133
54;1,01E+13;100300;790;930;1
54;1,01E+13;*;930;960;131
54;1,01E+13;*;930;960;133
54;1,01E+13;30100;960;1035;13
54;1,01E+13;*;1035;1050;131
54;1,01E+13;20700;1050;1090;32
54;1,01E+13;*;1090;1105;131
54;1,01E+13;30100;1105;1110;13
54;1,01E+13;*;1110;1155;131
54;1,01E+13;*;1110;1155;133
54;1,01E+13;100300;1155;1740;1
55;1,01E+13;100300;240;550;1
55;1,01E+13;*;550;555;100
55;1,01E+13;100300;555;555;52
55;1,01E+13;*;555;560;100
55;1,01E+13;100300;560;1740;1
56;1,01E+13;100300;240;500;1
56;1,01E+13;*;500;505;121
56;1,01E+13;100800;505;550;33
56;1,01E+13;*;550;555;121
